,CLASS,TITLE_x,CASE_HISTORY,CLEAN_COMMENTS
582,EMSE SMARTS,Severity Defination and wait timer configuraiton,"
*** NOTES 13/03/2019 09:09:36 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
Hi Team , 

Please share the wait timer along with severity configuration for Anglo


*** NOTES 14/03/2019 10:58:21 nxfam37 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 14/03/2019 10:58:22 nxfam37
Case Closed
",wait timer along severity configuration Anglo nxfam37 nxfam37
583,IONIX NCM,jump server access are not working,"
*** NOTES 13/03/2019 09:11:07 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Please reset my password as  I am not able to access below jump server.

147.152.68.195

Boat ID- siddiqme


 
*** RESEARCH LOG 14/03/2019 06:00:53 nxsmk58 Action Type: Action Taken
*** INFYSOESMARTS        Suhaas Krishnam  +91 9916391640  nxsmk58
Hi Team,

This is not managed by us, please help to send this to right team.

 
*** NOTES 14/03/2019 16:06:52 nxbab35 Action Type: PM Team
*** BTCOREDESK        Bhavitha B E    nxbab35
Passing to CWHPOPSUX


 
*** RESEARCH LOG 14/03/2019 16:39:04 lcszh82 Action Type: Action Taken
*** MASTER SOC2LINE        Sat Hullait    lcszh82

Passing this SR to ASG to check connectvity to the server. If you are unable to connect please raise a incident record  to CWHPOPSUX ASAP.

 
*** RESEARCH LOG 14/03/2019 17:26:36 nxmbr74 Action Type: Action Taken
*** APLSUPIONIX        Madhankumar Ramasamy    nxmbr74
Hi,

You account has been unlocked.

[root@rdl11262app120 ~]# pam_tally2 -u siddiqme -r
Login           Failures Latest failure     From
siddiqme           13    03/13/19 11:56:10  62.239.34.208
[root@rdl11262app120 ~]# pam_tally2 -u siddiqme -r
Login           Failures Latest failure     From
siddiqme            0

Thanks
Ionix Asg

*** NOTES 14/03/2019 17:29:06 nxmbr74 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 14/03/2019 17:29:07 nxmbr74
Case Closed
",reset password able jump server Boat siddiqme nxsmk58 INFYSOESMARTS nxsmk58 managed help right nxbab35 BTCOREDESK Bhavitha B E nxbab35 Passing CWHPOPSUX lcszh82 MASTER SOC2LINE Sat Hullait lcszh82 Passing SR connectvity server unable connect raise incident record CWHPOPSUX ASAP nxmbr74 APLSUPIONIX nxmbr74 You account unlocked root rdl11262app120 pamtally2 u siddiqme r Login Failures Latest failure From siddiqme/13/19 root rdl11262app120 pamtally2 u siddiqme r Login Failures Latest failure From siddiqme Ionix Asg nxmbr74 nxmbr74
584,EMSE SMARTS,rediscovery smarts ,"
*** NOTES 13/03/2019 10:03:54 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
Please provide file of devices being discovery and undiscovery by smarts
as per contract and customer details 

Customer: 42945, FIAT GROUP.	
Contract 	Contract Id
SHARED ROW	511227
FCA ARGENTINA	38329
FIASA	511208
COMAU BRAZIL	511210
CNH INDUSTRIAL BRAZIL	511215
CNH INDUSTRIAL ARGENTINA	511216
OTHERS BRAZIL	511225
TEKSID BRAZIL	511232
MAGNETI MARELI Brazil	511235
MAGNETI MARELLI Argentina	511236



 
*** RESEARCH LOG 13/03/2019 13:00:43 nxmcr08 Action Type: Action Taken
*** UKEEMSESMARTS        Mohamed Riswan  +91 9524304152  nxmcr08
Hi Rafael,

PFA the device list.

Thanks and regards,
Vishnu Challa
ASG|EMSE SMARTS|BT M n R
For any Issues/requests with Solution aka EMSE SMARTS system, kindly raise a Bridge case against UKEEMSESMARTS.
How to raise a bridge case : fixit.intra.bt.com
In Case of Escalation or Feedback , please contact Varsha Joseph (varsha.joseph@bt.com <mailto:varsha.joseph@bt.com>)



*** NOTES 14/03/2019 10:36:56 nxmcr08 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 14/03/2019 10:36:56 nxmcr08
Case Closed
",file discovery undiscovery smarts per contract FIAT GROUP Contract Contract Id SHARED ROW FCA ARGENTINA FIASA COMAU BRAZIL CNH INDUSTRIAL BRAZIL CNH INDUSTRIAL ARGENTINA OTHERS BRAZIL TEKSID BRAZIL MAGNETI MARELI Brazil MAGNETI MARELLI Argentina nxmcr08 UKEEMSESMARTS nxmcr08 Rafael PFA regards Challa ASGEMSE SMARTSBT M n R Issues/requests Solution aka EMSE SMARTS system kindly raise UKEEMSESMARTS How raise bridge fixitintrabtcom In Escalation Feedback contact varshajoseph mailto varshajoseph nxmcr08 nxmcr08
585,NIAB,VDSL high Utilization/ Wrong Calculation/ Timestamp missing in Primary ckt.,"
*** NOTES 13/03/2019 10:37:02 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
VDSL (Eth0/1/0) link high utilization identified in some of the t4 sites. Whenever there is a high utilization observed in a VDSL circuit, corresponding time-stamp is missing from respective primary circuit (GigEthernet0/0/0) of the site.
Analysis done on real time sample of data. Utilization calculated manually using throughput and speed is not matching with the values calculated by W4N.

Detail shared in email.


 
*** RESEARCH LOG 25/03/2019 03:56:51 nxmbs18 Action Type: Action Taken
*** APLSUPGSNIAB        Mounisha Shantha Kumar  +91 9731540589  nxmbs18
Hi Ikbal,

I have made the changes, the data is getting collected. Will update you by EOD after the observation.

Regards,
Kamakhya
NIAB


 
*** RESEARCH LOG 28/03/2019 05:36:59 nxmbs18 Action Type: Action Taken
*** APLSUPGSNIAB        Mounisha Shantha Kumar  +91 9731540589  nxmbs18
Closing the case as confirmed

*** NOTES 28/03/2019 05:38:45 nxmbs18 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 28/03/2019 05:38:46 nxmbs18
Case Closed
",VDSL Eth0/1/0 link high utilization identified t4 sites Whenever high utilization observed VDSL circuit corresponding timestamp missing respective primary circuit GigEthernet0/0/0 site Analysis done real time sample Utilization calculated manually using throughput speed matching values calculated W4N Detail shared nxmbs18 APLSUPGSNIAB Mounisha Shantha Kumar nxmbs18 Ikbal made changes getting collected Will update EOD observation Kamakhya NIAB nxmbs18 APLSUPGSNIAB Mounisha Shantha Kumar nxmbs18 Closing confirmed nxmbs18 nxmbs18
586,NIAB,Need list of all active customers in NIAB,"
*** NOTES 13/03/2019 10:38:31 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Need list of all active customers in NIAB


 
*** EMAIL OUT 18/03/2019 09:29:26 nxdaa72 Action Type: Internal email
Send to: [pallavi.chaudhari@bt.com]
*** APLSUPGSNIAB        Divya Arora [612119701]  +916362393418  nxdaa72
Hi Pallavi,

Could you please provide us the details about your team and reason for the requirement of customer details in NIAB.

Regards,
Divya Arora
NIAB ASG

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

*** NOTES 19/03/2019 13:05:54 nxdaa72 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 19/03/2019 13:05:54 nxdaa72
Case Closed
",Need active customers NIAB EMAIL OUT nxdaa72 Send pallavichaudhari APLSUPGSNIAB Divya Arora nxdaa72 Pallavi Could reason requirement NIAB Divya Arora NIAB reply queries box monitored nxdaa72 nxdaa72
587,EMSE SMARTS,lack of Proactive alarm ,"
*** NOTES 13/03/2019 11:27:16 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Two devices went down and no proactive ticket was raised. Loopback: 78.6.70.128 Hostname: fgdu-r-brgoi01d01-lfga  
Loopback: 78.6.70.129 Hostname: fgdu-r-brgoi01d03-lfga
Date: 13 march 2019 06am gmt0


 
*** RESEARCH LOG 10/04/2019 08:29:24 nxvac09 Action Type: Action Taken
*** UKEEMSESMARTS        Vishnu Vardhan Challa  +91 7842296669  nxvac09
The tickeitng was in hung state hence ticket was not created.

*** NOTES 10/04/2019 08:30:48 nxvac09 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 10/04/2019 08:30:53 nxvac09
Case Closed
",Two went proactive ticket raised Loopback Hostname fgdurbrgoi01d01lfga Loopback Hostname fgdurbrgoi01d03lfga Date marcham gmt0 nxvac09 UKEEMSESMARTS Challa nxvac09 tickeitng hung state hence ticket created nxvac09 nxvac09
588,SMARTS MPLS,i need IPCG and vpn discovery report,"
*** NOTES 13/03/2019 11:40:33 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
i need to know what all devices have proactive monitoring enabled for customer ALS limited.

can you please share me the detailed list.


 
*** RESEARCH LOG 14/03/2019 07:17:40 nxsmk58 Action Type: Action Taken
*** INFYSOESMARTS        Suhaas Krishnam  +91 9916391640  nxsmk58
provided

*** NOTES 14/03/2019 07:18:00 nxsmk58 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 14/03/2019 07:18:01 nxsmk58
Case Closed
",proactive monitoring enabled ALS limited detailed nxsmk58 INFYSOESMARTS nxsmk58 nxsmk58 nxsmk58
589,IONIX NCM,VDC 100K_Having issues with queued devices,"
*** NOTES 13/03/2019 12:01:27 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Jobs are not completing and devices inside of jobs are showing as queued and never going to running and stuck in the queued state.


*** NOTES 09/04/2019 17:42:08 nxsbn82 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 09/04/2019 17:42:08 nxsbn82
Case Closed
",Jobs completing inside jobs showing queued never going running stuck queued state nxsbn82 nxsbn82
590,EMSE SMARTS,EMSE SMARTS - snmp poller unticked,"
*** NOTES 13/03/2019 12:08:43 FIXITBOT1 Action Type: PM Team
*** BTCOREDESK        AUTOMATED PASSWORD    FIXITBOT1
Service Request Case. Generated by BTFixIT Bridge Service Request System.

Application: EMSE SMARTS
Name: Simon Eastwood
UIN: 604606387
E-mail: simon.3.eastwood@bt.com
Primary Contact: +443316549114
Secondary Contact: +447501238031
--------------------------------

EMSE SMARTS Issue : Other Issues
No screenshot provided.
--------------------------------
Full Description: Checking contract EUV (Visa Europe), there are over 100 
devices where in nmsloader the snmp poller is unticked, the 
polling class is either SMARTS-SNMP_PING_AND_POLL or stop-stop 
however these devices are erroring with ""No response from SNMP 
agent"". Example devices are vi_rt_cro_int3_mar02, 
vi_rt_tur_eko3_mar01 & vi_sw_slk_tat1_mas02. Can you please 
explain why these devices are picked up for monitoring when 
the snmp poller is unticked? Is there something in Smarts
overriding this?
 


**************************

Case should be dispatched to - UKEEMSESMARTS

[!<For Internal Use Only
BTFixIT Bridge Service Request Robot generated note!]


 
*** RESEARCH LOG 14/03/2019 18:37:17 nxbap51 Action Type: Action Taken
*** UKEEMSESMARTS        Bhanu Chandra Pendem  07467 472 666  nxbap51
<BT/Infosys><UKEEMSESMARTS><APP07163><+44-7467472666>
Initial observation  - <EMSE SMARTS - snmp poller unticked >
Business impact - < No Impact>
Case has been accepted by SMARTS ASG and initial investigations are being carried out. Outcome of the investigation will be updated within the next 24 hours.
Any deadlines impacted and understood

 
*** RESEARCH LOG 14/03/2019 18:37:29 nxbap51 Action Type: Action Taken
*** UKEEMSESMARTS        Bhanu Chandra Pendem  07467 472 666  nxbap51
Hi Simon,

There is migration on going for VISA from Solution SMARTS to NIAB Smarts , hence devices are unchecked for SNMP Poller in NMDB .

You can reach out to ashutosh.awasthi@bt.com <mailto:ashutosh.awasthi@bt.com> for more details .

Let me know if any concerns else confirm the case closure .

Regards,
Bhanu Chandra  | EMSE SMARTS Lead ASG | Technology, Service and Operations <https://intra.bt.com/bt/tso/Pages/index.aspx>
BT Global Services ,Orion Building, Adastral Park, Ipswich, IP5 3RE
In Case of Escalation or Feedback , please contact Sreejith Sivaraman / Mudit Jain 
PS: If you are happy with the effort  taken by me, kindly drop me an e-card at <https://www.rewardscentral.bt.com/>

British Telecommunications plc
Registered office: 81 Newgate Street London EC1A 7AJ Registered in England no. 1800000. 
This email contains BT information which may be privileged or confidential. It is meant only for the individual(S) or entity named above. If you are not the intended recipient, note that disclosing, copying, distributing or using this information is prohibited. If you have received this email in error, please let me know immediately on the email above. Thank you.  We monitor our email system and may record your emails.
Please think of the environment before printing this email



*** NOTES 15/03/2019 11:37:11 nxbap51 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 15/03/2019 11:37:11 nxbap51
Case Closed
",BTCOREDESK AUTOMATED PASSWORD Generated Application EMSE SMARTS Simon Eastwood UIN simon3eastwood Primary Secondary EMSE SMARTS Issue Issues screenshot Full Description Checking contract EUV Visa Europe nmsloader snmp poller unticked polling class either SMARTSSNMPPINGANDPOLL stopstop however erroring response agent Example virtcroint3mar02 virttureko3mar01 viswslktat1mas02 explain picked monitoring snmp poller unticked Is something Smarts overriding dispatched UKEEMSESMARTS Use Only Robot nxbap51 UKEEMSESMARTS Bhanu Chandra Pendem nxbap51 BT/Infosys UKEEMSESMARTS APP07163 Initial observation EMSE SMARTS snmp poller unticked Business Impact accepted SMARTS initial investigations carried Outcome investigation updated next hours deadlines impacted understood nxbap51 UKEEMSESMARTS Bhanu Chandra Pendem nxbap51 Simon There migration going VISA Solution SMARTS NIAB Smarts hence unchecked Poller You reach ashutoshawasthi mailto ashutoshawasthi Let concerns else closure Bhanu Chandra EMSE SMARTS Lead Operations https //intrabtcom/bt/tso/Pages/indexaspx Global Services Orion Building Adastral Ipswich IP5RE In Escalation Feedback contact Sreejith Sivaraman Mudit Jain PS happy effort taken kindly drop ecard https //wwwrewardscentralbtcom/ British Telecommunications plc Registered office Newgate Street London EC1AAJ Registered England contains may privileged confidential It S named intended disclosing distributing using received error Thank monitor system may record emails think environment printing nxbap51 nxbap51
591,Standalone W4Net,MIBs/Oids for ABB additional services parameters CR 2340,"
*** NOTES 13/03/2019 12:11:55 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
Please provide mibs/oids for these additional parameters.
?	We would need MIB/OIDs to be polled for below parameters on WAN/LAN devices 
o    percentage of used licensed performance on datapath (5 min average)
o    number of BGP peers
o    number of BGP prefixes per peer
o    number of route entries
o    packet rate (slow switched, fast/hardware switched)
o    collisions per second
?	We would need MIB/OIDs to be polled for below parameters on Firewall devices:
         
o    number of anyconnect sessions - for users connected
o    number of site2site ipsec sessions connected
o    amount of encrypted/decrypted traffic per second, per site2site tunnels and SSL tunnels
o    number of crashes of crypto




 
*** RESEARCH LOG 14/03/2019 06:22:53 nxsjp53 Action Type: Action Taken
*** APLSUPWATCH4NET        Sonal Poojary    nxsjp53
Hi David,
 
We haven't received a mail regarding this. If suppose there is a mail can you please loop watch4net.support@bt.com .



 
*** RESEARCH LOG 21/03/2019 06:07:39 nxsjp53 Action Type: Action Taken
*** APLSUPWATCH4NET        Sonal Poojary    nxsjp53
Hi David,
Sonali has already replied regarding this via mail and also she confirmed its in discussion with you as of now . Please find below for the reply sent by Sonali for your reference :
""Hi Peter/David,
 
As I have told earlier , I can check feasibility once I get MIB/OID for these parameters . If there is no MIB/OID available which can give us these values , W4N won?t be able to report on them.
As per my research /knowledge , didn?t find any MIB  on internet /vendor site which will give these info .
 
If someone from TDA can tell us ?is there any way to extract all these parameters directly from the device doing ssh/telnet to the device, then might be I can take that route for feasibility .
 
Thanks,
 
Regards,
Sonali|Standalone W4N-Design|Monitoring & Reporting""


Since this is a design query Sonali will help you in this via on-going mail .

Thus closing this SR.


Regards,
Sonal 


*** NOTES 21/03/2019 06:16:17 nxsjp53 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 21/03/2019 06:16:17 nxsjp53
Case Closed
",mibs/oids additional parameters would MIB/OIDs polled parameters WAN/LAN percentage used licensed performance datapath min average number BGP peers number BGP prefixes per peer number route entries packet rate slow switched fast/hardware switched collisions per second would MIB/OIDs polled parameters Firewall number anyconnect sessions users connected number site2site ipsec sessions connected amount encrypted/decrypted traffic per second per site2site tunnels SSL tunnels number crashes crypto nxsjp53 APLSUPWATCH4NET Poojary nxsjp53 David nt received regarding suppose loop watch4netsupport nxsjp53 APLSUPWATCH4NET Poojary nxsjp53 David Sonali already replied regarding via also confirmed discussion find reply sent Sonali reference Peter/David told earlier feasibility MIB/OID parameters MIB/OID available give values W4N able per research /knowledge find MIB internet /vendor site give info someone TDA tell way extract parameters directly ssh/telnet might take route feasibility SonaliStandalone W4NDesignMonitoring Reporting Since design query Sonali help via ongoing Thus closing SR nxsjp53 nxsjp53
592,Standalone W4Net,PSBA - Additional links need adding into PSBA W4N.,"
*** NOTES 13/03/2019 15:41:40 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
PSBA - Additional links need adding into PSBA W4N. Email to follow containing further information.


 
*** RESEARCH LOG 20/03/2019 10:08:34 nxrjs65 Action Type: Action Taken
*** APLSUPWATCH4NET        Rahul Sharma [612378368]    nxrjs65
Reporting,
closing the case

*** NOTES 20/03/2019 10:08:49 nxrjs65 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 20/03/2019 10:08:50 nxrjs65
Case Closed
",PSBA PSBA W4N nxrjs65 APLSUPWATCH4NET Sharma nxrjs65 Reporting closing nxrjs65 nxrjs65
593,NIAB,NBS- Wrong interface utilisation in percentage,"
*** NOTES 13/03/2019 15:54:22 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
We are getting wrong interface utilization in percentage compared with throughput. It is observed for multiple data device interfaces in NIAB. Path of the report is mentioned below:

All>>SLA Reports>>SLA Reports>>Capacity>>LAN Interface Utilization Report



 
*** RESEARCH LOG 14/03/2019 08:45:50 nxdan54 Action Type: Action Taken
*** APLSUPNBSTOOLSQ        Danish Nomani [611731904]    nxdan54
Hi NIAB,

Capacity team has reported an issue where the LAN Interface Utilization report is showing incorrect interface utilization data in it. Please see the attached reports for reference.

Below snippet shows the speed of the interface is 20,000,000,000 bps, outbound throughput 1,993,290,202 bps and the interface utilization is above 65%. This seems NIAB is calculating incorrect data for interface utilization. All these interfaces have speed of 20G and showing throughput as around 2G while in percentage it is showing as 70% which should reflect as 10%.

There are many interfaces which are getting populated incorrectly.

Could you please check why NIAB is populating incorrect data? Case CD929585 has been dispatched to your queue.


                                                            

Thanks & Regards,

Danish Nomani

Tools Analyst
BT
Information Technology | TCAP
Unitech Building 1 Levels 9 & 10-BT IND GUR UT Nationwide
Phone +91 9823168477
danish.nomani@bt.com <mailto:danish.nomani@bt.com> | www.bt.com <http://www.bt.com>


 
*** RESEARCH LOG 19/03/2019 15:06:26 nxral63 Action Type: Action Taken
*** APLSUPGSNIAB        Rokya Logu  +91 8148352930  nxral63
Hi Danish,

We are working on it and we will update you.


Regards
NIAB

 
*** RESEARCH LOG 21/03/2019 02:48:24 nxral63 Action Type: Action Taken
*** APLSUPGSNIAB        Rokya Logu  +91 8148352930  nxral63
Hi,

We are still working on it and we will update you.


Regards
NIAB

 
*** RESEARCH LOG 25/03/2019 13:13:08 nxdan54 Action Type: Action Taken
*** APLSUPNBSTOOLSQ        Danish Nomani [611731904]    nxdan54
Hi NIAB,

Could you please share the progress on this issue?

Thanks & Regards,

Danish Nomani

Tools Analyst
BT
Information Technology | TCAP
Unitech Building 1 Levels 9 & 10-BT IND GUR UT Nationwide
Phone +91 9823168477
danish.nomani@bt.com <mailto:danish.nomani@bt.com> | www.bt.com <http://www.bt.com>


 
*** RESEARCH LOG 26/03/2019 14:24:17 nxskk67 Action Type: Action Taken
*** APLSUPGSNIAB        Suryadip Kumar  91702 666 7194  nxskk67
Hi Danish,

Please schedule a call for this issue. We need your details and input for investigation.

Regards,
Suryadip



 
*** EMAIL OUT 28/03/2019 11:08:26 nxskk67 Action Type: Internal email
Send to: [nishit.garg@bt.com]
CC List: [niab.support@bt.com;nbs.tools.management@bt.com;mudit.2.jain@bt.com;tejaswini.krishnamurthy@bt.com]
*** APLSUPGSNIAB        Suryadip Kumar  91702 666 7194  nxskk67
Issue has been resolved, please check and confirm.

Regards,
Suryadip

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

*** NOTES 02/04/2019 10:39:12 nxskk67 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 02/04/2019 10:39:12 nxskk67
Case Closed
",getting wrong interface utilization percentage compared throughput It observed multiple interfaces NIAB Path All SLA Reports SLA Reports Capacity LAN Interface Utilization Report nxdan54 APLSUPNBSTOOLSQ Danish Nomani nxdan54 NIAB Capacity reported LAN Interface Utilization showing incorrect interface utilization attached reports reference Below snippet shows speed interface bps outbound throughput bps interface utilization seems NIAB calculating incorrect interface utilization All interfaces speedG showing throughput aroundG percentage showing reflect There many interfaces getting populated incorrectly Could NIAB populating incorrect CD929585 dispatched queue Danish Nomani Tools Analyst Information TCAP Unitech Building LevelsBT IND GUR UT Nationwide Phone danishnomani mailto danishnomani wwwbtcom http //wwwbtcom nxral63 APLSUPGSNIAB nxral63 Danish working update NIAB nxral63 APLSUPGSNIAB nxral63 still working update NIAB nxdan54 APLSUPNBSTOOLSQ Danish Nomani nxdan54 NIAB Could progress Danish Nomani Tools Analyst Information TCAP Unitech Building LevelsBT IND GUR UT Nationwide Phone danishnomani mailto danishnomani wwwbtcom http //wwwbtcom nxskk67 APLSUPGSNIAB Kumar nxskk67 Danish schedule call input investigation EMAIL OUT nxskk67 Send nishitgarg CC List niabsupport nbstoolsmanagement mudit2jain tejaswinikrishnamurthy APLSUPGSNIAB Kumar nxskk67 Issue resolved reply queries box monitored nxskk67 nxskk67
594,Standalone W4Net,PSBA- Additional links need adding into PSBA W4N.,"
*** NOTES 13/03/2019 15:59:35 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
PSBA- Additional links need adding into PSBA W4N. Email to follow containing further information.


 
*** RESEARCH LOG 20/03/2019 10:09:15 nxrjs65 Action Type: Action Taken
*** APLSUPWATCH4NET        Rahul Sharma [612378368]    nxrjs65
Reporting,
closing the case

*** NOTES 20/03/2019 10:09:29 nxrjs65 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 20/03/2019 10:09:29 nxrjs65
Case Closed
",PSBA PSBA W4N nxrjs65 APLSUPWATCH4NET Sharma nxrjs65 Reporting closing nxrjs65 nxrjs65
595,IONIX NCM,NBS Sandipet DL_DB Password Expiry,"*** PHONE LOG 13/03/2019 17:54:01 nxmbr74
*** APLSUPIONIX        Madhankumar Ramasamy    nxmbr74
Hi Team,

Kindly reset the DL_DB Passwd and send me to separate mail(madhankumar.ramasamy@bt.com).

user: nws_niabdl??
bcp11262001-scan-oravip.dci.bt.com
61901
ncmpd_any

Thanks
IONIX ASG


 
*** RESEARCH LOG 13/03/2019 17:54:43 nxmbr74 Action Type: Action Taken
*** APLSUPIONIX        Madhankumar Ramasamy    nxmbr74
Hi Team,

DB Details:

sandpit user: nws_niabdl??
bcp11262001-scan-oravip.dci.bt.com
61901
ncmpd_any

Thanks
IONIX ASG

 
*** RESEARCH LOG 13/03/2019 19:37:03 SLDZB18 Action Type: Action Taken
*** Master CWHPOPSDBA        Darsan Behera  0113 382 9648  SLDZB18
##
USERNAME                       ACCOUNT_STATUS                   LOCK_DATE   EXPIRY_DATE PROFILE
------------------------------ -------------------------------- ----------- ----------- ------------------------------
NWS_NIABDL                     EXPIRED                                      31-JAN-2019 BT_DEFAULT

1 row selected.

SQL> alter user NWS_NIABDL identified by #######  New password emailed ##

User altered.

SQL> select username, account_status, lock_date, expiry_date,PROFILE  from dba_users where username = upper('nws_niabdl');

USERNAME                       ACCOUNT_STATUS                   LOCK_DATE   EXPIRY_DATE PROFILE
------------------------------ -------------------------------- ----------- ----------- ------------------------------
NWS_NIABDL                     OPEN                                         11-JUN-2019 BT_DEFAULT

1 row selected.
##

*** NOTES 16/03/2019 20:34:55 nxmbr74 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 16/03/2019 20:34:55 nxmbr74
Case Closed
",PHONE nxmbr74 APLSUPIONIX nxmbr74 reset DLDB Passwd separate madhankumarramasamy user nwsniabdl bcp11262001scanoravipdcibtcom ncmpdany IONIX nxmbr74 APLSUPIONIX nxmbr74 DB Details sandpit user nwsniabdl bcp11262001scanoravipdcibtcom ncmpdany IONIX SLDZB18 Master CWHPOPSDBA Darsan Behera SLDZB18 USERNAME ACCOUNTSTATUS LOCKDATE EXPIRYDATE PROFILE NWSNIABDL EXPIREDJAN2019 BTDEFAULT row selected SQL alter user NWSNIABDL identified New password emailed User altered SQL select username accountstatus lockdate expirydate PROFILE dbausers username upper nwsniabdl USERNAME ACCOUNTSTATUS LOCKDATE EXPIRYDATE PROFILE NWSNIABDL OPENJUN2019 BTDEFAULT row selected nxmbr74 nxmbr74
596,SMARTS MPLS,Veritas Cambetta Circuit Cease - 1654363,"
*** NOTES 13/03/2019 20:16:22 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Kindly stop monitoring the below device

HOST NAME	na-verit-cou71-plg-eu
IP ADDRESS	147.152.101.111



 
*** RESEARCH LOG 14/03/2019 06:02:19 nxsmk58 Action Type: Action Taken
*** INFYSOESMARTS        Suhaas Krishnam  +91 9916391640  nxsmk58
Raise a cease order at classic it should flow to SMARTS and will remove from monitoring automatically.

*** NOTES 14/03/2019 06:02:56 nxsmk58 Action Type: PM Team
Resolution Code =Request Rejected

*** CASE CLOSE 14/03/2019 06:02:57 nxsmk58
Case Closed
",stop monitoring HOST NAME naveritcou71plgeu ADDRESS nxsmk58 INFYSOESMARTS nxsmk58 Raise cease flow SMARTS remove monitoring nxsmk58 Rejected nxsmk58
597,Ontario,Need to re-discover device on Ontario,"
*** NOTES 14/03/2019 03:26:53 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
Hi Team,

Please re-discover device on Ontario,

Regards,
Saraswathi, S


*** NOTES 18/03/2019 04:33:24 nxscn51 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 18/03/2019 04:33:25 nxscn51
Case Closed
",rediscover Ontario Saraswathi S nxscn51 nxscn51
598,Standalone W4Net,Missing Interface,"
*** NOTES 14/03/2019 06:34:36 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Hi Team,

Could you please check for below given device is not visible in W4N tool for monitoring same was available for reporting in tool in Feb-19.

aa-orica-rdo71-den-am,GigabitEthernet0/1.4076



 
*** RESEARCH LOG 18/03/2019 15:13:53 nxsjp53 Action Type: Action Taken
*** APLSUPWATCH4NET        Sonal Poojary    nxsjp53
Hi Naginder,

The hostname for the device for the IP 217.32.174.250 earlier before was aa-orica-rdo71-den-am.

Now the device name has changed to aa-orica-rdo70-den-am for the IP 217.32.174.250 on 1st of March in NMDB, thus the same is reflecting in Watch4net.

If you require to change or modify the hostname according to your business needs , please check with NMDB team.

 
*** RESEARCH LOG 18/03/2019 15:16:12 nxsjp53 Action Type: Action Taken
*** APLSUPWATCH4NET        Sonal Poojary    nxsjp53
No action point on Watch4net , thus closing the case

*** NOTES 18/03/2019 15:16:41 nxsjp53 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 18/03/2019 15:16:41 nxsjp53
Case Closed
",Could given visible W4N tool monitoring available reporting tool Feb19 aaoricardo71denam GigabitEthernet0/14076 nxsjp53 APLSUPWATCH4NET Poojary nxsjp53 Naginder hostname earlier aaoricardo71denam Now changed aaoricardo70denamst March thus reflecting Watch4net require change modify hostname according business needs nxsjp53 APLSUPWATCH4NET Poojary nxsjp53 action point Watch4net thus closing nxsjp53 nxsjp53
